종목코드,종목명,시장구분,업종명,시가총액
095190,이엠코리아,KOSDAQ,금속,119439808785
095270,웨이브일렉트로,KOSDAQ,IT부품,96115463520
095340,ISC,KOSDAQ,반도체,880413232600
095500,미래나노텍,KOSDAQ,IT부품,795406474350
095570,AJ네트웍스,KOSPI,서비스업,207188655375
095610,테스,KOSDAQ,반도체,432924149400
095660,네오위즈,KOSDAQ,디지털컨텐츠,1085160660750
095700,제넥신,KOSDAQ,기타서비스,527184543800
095720,웅진씽크빅,KOSPI,서비스업,347095484925
095910,에스에너지,KOSDAQ,IT부품,54515085885
096040,이트론,KOSDAQ,정보기기,191361580945
096240,크레버스,KOSDAQ,기타서비스,226257774400
096350,대창솔루션,KOSDAQ,금속,77786479275
096530,씨젠,KOSDAQ,제약,1279536853000
096610,알에프세미,KOSDAQ,반도체,253844328850
096630,에스코넥,KOSDAQ,IT부품,107487248823
096640,멜파스,KOSDAQ,IT부품,69543906185
096690,에이루트,KOSDAQ,정보기기,81135909792
096760,JW홀딩스,KOSPI,기타금융,240727087880
096770,SK이노베이션,KOSPI,화학,18308181672000
096775,SK이노베이션우,KOSPI,화학,154180611000
096870,엘디티,KOSDAQ,반도체,24342768000
097230,HJ중공업,KOSPI,건설업,308531211105
097520,엠씨넥스,KOSPI,전기전자,583377403400
097780,에스맥,KOSDAQ,운송장비·부품,74711832558
097800,윈팩,KOSDAQ,반도체,107490430784
097870,효성오앤비,KOSDAQ,화학,75900600000
097950,CJ제일제당,KOSPI,음식료품,4824866613000
097955,CJ제일제당 우,KOSPI,음식료품,199114950000
098120,마이크로컨텍솔,KOSDAQ,반도체,64091425860
098460,고영,KOSDAQ,기계·장비,960480022450
098660,에스티오,KOSDAQ,섬유·의류,32877566880
099190,아이센스,KOSDAQ,의료·정밀기기,482670508420
099220,SDN,KOSDAQ,유통,117118225935
099320,쎄트렉아이,KOSDAQ,통신장비,301187872050
099390,브레인즈컴퍼니,KOSDAQ,소프트웨어,76583280390
099410,동방선기,KOSDAQ,운송장비·부품,39336610810
099430,바이오플러스,KOSDAQ,제약,380605776480
099440,스맥,KOSDAQ,기계·장비,97723162000
099520,ITX-AI,KOSDAQ,통신장비,49626429228
099750,이지케어텍,KOSDAQ,소프트웨어,170185922400
100030,인지소프트,KOSDAQ,소프트웨어,71584965200
100090,SK오션플랜트,KOSPI,철강금속,1050859136880
100120,뷰웍스,KOSDAQ,의료·정밀기기,332562011250
100130,동국S&C,KOSDAQ,금속,244572040000
100220,비상교육,KOSPI,서비스업,69272629530
100250,진양홀딩스,KOSPI,화학,183616034220
100590,머큐리,KOSDAQ,일반전기전자,88631890560
100660,서암기계공업,KOSDAQ,기계·장비,72576000000
100700,세운메디칼,KOSDAQ,제약,126144000000
100790,미래에셋벤처투자,KOSDAQ,금융,282753567000
